transaction_id,product_id,staff_id,customer_id,sales_outlet_id,transaction_date,transaction_time,quantity
0,22,12,5658,5,2019-04-01,07:01:20,2
1,30,12,5163,5,2019-04-01,07:02:34,2
2,22,30,5197,5,2019-04-01,07:02:56,1
3,22,12,5247,5,2019-04-01,07:03:30,2
4,37,30,5333,5,2019-04-01,07:04:24,1
5,32,30,5465,5,2019-04-01,07:06:11,2
6,46,12,5923,5,2019-04-01,07:06:29,1
7,22,30,5627,5,2019-04-01,07:06:32,1
8,59,30,5340,5,2019-04-01,07:07:09,2
9,61,12,5806,5,2019-04-01,07:07:19,1
10,57,30,5895,5,2019-04-01,07:08:56,2
11,49,30,5583,5,2019-04-01,07:09:09,1
12,61,30,5073,5,2019-04-01,07:09:59,2
13,45,30,5050,5,2019-04-01,07:12:10,1
14,59,26,5412,5,2019-04-01,07:14:04,2
15,34,26,5376,5,2019-04-01,07:15:02,1
16,44,26,5224,5,2019-04-01,07:18:04,1
17,39,30,5439,5,2019-04-01,07:19:13,1
17,77,30,5439,5,2019-04-01,07:19:13,1
18,54,12,5720,5,2019-04-01,07:20:00,2
19,22,12,5676,5,2019-04-01,07:20:24,1
20,50,30,5907,5,2019-04-01,07:20:59,2
21,54,26,5921,5,2019-04-01,07:21:23,2
22,40,12,5162,5,2019-04-01,07:22:41,1
23,57,30,5479,5,2019-04-01,07:22:41,2
23,77,30,5479,5,2019-04-01,07:22:41,1
24,53,30,5514,5,2019-04-01,07:24:20,1
25,56,26,5743,5,2019-04-01,07:25:09,2
25,74,26,5743,5,2019-04-01,07:25:09,1
26,47,30,5164,5,2019-04-01,07:25:39,2
27,22,12,5543,5,2019-04-01,07:25:49,1
28,27,12,5178,5,2019-04-01,07:26:59,2
29,53,26,5635,5,2019-04-01,07:27:26,2
30,32,12,5672,5,2019-04-01,07:27:31,1
30,71,12,5672,5,2019-04-01,07:27:31,1
31,61,12,5630,5,2019-04-01,07:32:03,2
32,28,26,5195,5,2019-04-01,07:33:34,2
33,39,12,5231,5,2019-04-01,07:39:13,1
34,58,30,5489,5,2019-04-01,07:39:34,2
35,34,30,5227,5,2019-04-01,07:41:18,2
36,22,12,5115,5,2019-04-01,07:41:34,1
37,56,26,5373,5,2019-04-01,07:43:05,1
38,33,12,5162,5,2019-04-01,07:44:35,2
39,51,30,5394,5,2019-04-01,07:45:51,1
40,24,26,5291,5,2019-04-01,07:46:28,2
40,72,26,5291,5,2019-04-01,07:46:28,1
41,47,26,5508,5,2019-04-01,07:46:30,2
42,58,12,5278,5,2019-04-01,07:47:02,2
43,57,12,5491,5,2019-04-01,07:48:19,1
44,50,30,5593,5,2019-04-01,07:49:41,2
45,25,30,5647,5,2019-04-01,07:51:55,2
46,34,12,5020,5,2019-04-01,07:52:17,2
47,87,26,5180,5,2019-04-01,07:52:36,2
48,26,12,5732,5,2019-04-01,07:52:55,1
49,25,26,5184,5,2019-04-01,07:53:55,1
50,41,26,5656,5,2019-04-01,07:57:58,2
51,47,26,5477,5,2019-04-01,07:59:58,2
51,79,26,5477,5,2019-04-01,07:59:58,1
52,42,45,8480,8,2019-04-01,08:00:18,1
53,36,26,5136,5,2019-04-01,08:00:35,1
53,77,26,5136,5,2019-04-01,08:00:35,1
54,45,42,8353,8,2019-04-01,08:00:39,1
55,59,45,8392,8,2019-04-01,08:00:39,2
56,55,26,5361,5,2019-04-01,08:01:00,2
57,37,12,5181,5,2019-04-01,08:03:55,2
57,79,12,5181,5,2019-04-01,08:03:55,1
58,23,30,5929,5,2019-04-01,08:05:46,1
59,45,26,5651,5,2019-04-01,08:06:19,1
60,41,30,5013,5,2019-04-01,08:08:56,1
60,74,30,5013,5,2019-04-01,08:08:56,1
61,43,26,5873,5,2019-04-01,08:09:09,1
62,31,12,5676,5,2019-04-01,08:09:36,1
63,61,45,8293,8,2019-04-01,08:11:45,1
64,47,15,8291,8,2019-04-01,08:12:03,1
65,54,12,5388,5,2019-04-01,08:13:31,2
66,37,12,5765,5,2019-04-01,08:15:40,2
67,28,45,8326,8,2019-04-01,08:16:50,1
68,33,42,8483,8,2019-04-01,08:17:27,2
69,53,42,8318,8,2019-04-01,08:17:40,2
70,24,42,8170,8,2019-04-01,08:17:58,1
71,51,30,5735,5,2019-04-01,08:18:52,1
72,58,15,8042,8,2019-04-01,08:21:46,1
73,40,45,8050,8,2019-04-01,08:24:24,2
