transaction_id,product_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,quantity
0,22,2019-04-01,07:01:20,5,12,5658,2
1,30,2019-04-01,07:02:34,5,12,5163,2
2,22,2019-04-01,07:02:56,5,30,5197,1
3,22,2019-04-01,07:03:30,5,12,5247,2
4,37,2019-04-01,07:04:24,5,30,5333,1
5,32,2019-04-01,07:06:11,5,30,5465,2
6,46,2019-04-01,07:06:29,5,12,5923,1
7,22,2019-04-01,07:06:32,5,30,5627,1
8,59,2019-04-01,07:07:09,5,30,5340,2
9,61,2019-04-01,07:07:19,5,12,5806,1
10,57,2019-04-01,07:08:56,5,30,5895,2
11,49,2019-04-01,07:09:09,5,30,5583,1
12,61,2019-04-01,07:09:59,5,30,5073,2
13,45,2019-04-01,07:12:10,5,30,5050,1
14,59,2019-04-01,07:14:04,5,26,5412,2
15,34,2019-04-01,07:15:02,5,26,5376,1
16,44,2019-04-01,07:18:04,5,26,5224,1
17,39,2019-04-01,07:19:13,5,30,5439,1
17,77,2019-04-01,07:19:13,5,30,5439,1
18,54,2019-04-01,07:20:00,5,12,5720,2
19,22,2019-04-01,07:20:24,5,12,5676,1
20,50,2019-04-01,07:20:59,5,30,5907,2
21,54,2019-04-01,07:21:23,5,26,5921,2
22,40,2019-04-01,07:22:41,5,12,5162,1
23,57,2019-04-01,07:22:41,5,30,5479,2
23,77,2019-04-01,07:22:41,5,30,5479,1
24,53,2019-04-01,07:24:20,5,30,5514,1
25,56,2019-04-01,07:25:09,5,26,5743,2
25,74,2019-04-01,07:25:09,5,26,5743,1
26,47,2019-04-01,07:25:39,5,30,5164,2
27,22,2019-04-01,07:25:49,5,12,5543,1
28,27,2019-04-01,07:26:59,5,12,5178,2
29,53,2019-04-01,07:27:26,5,26,5635,2
30,32,2019-04-01,07:27:31,5,12,5672,1
30,71,2019-04-01,07:27:31,5,12,5672,1
31,61,2019-04-01,07:32:03,5,12,5630,2
32,28,2019-04-01,07:33:34,5,26,5195,2
33,39,2019-04-01,07:39:13,5,12,5231,1
34,58,2019-04-01,07:39:34,5,30,5489,2
35,34,2019-04-01,07:41:18,5,30,5227,2
36,22,2019-04-01,07:41:34,5,12,5115,1
37,56,2019-04-01,07:43:05,5,26,5373,1
38,33,2019-04-01,07:44:35,5,12,5162,2
39,51,2019-04-01,07:45:51,5,30,5394,1
40,24,2019-04-01,07:46:28,5,26,5291,2
40,72,2019-04-01,07:46:28,5,26,5291,1
41,47,2019-04-01,07:46:30,5,26,5508,2
42,58,2019-04-01,07:47:02,5,12,5278,2
43,57,2019-04-01,07:48:19,5,12,5491,1
44,50,2019-04-01,07:49:41,5,30,5593,2
45,25,2019-04-01,07:51:55,5,30,5647,2
46,34,2019-04-01,07:52:17,5,12,5020,2
47,87,2019-04-01,07:52:36,5,26,5180,2
48,26,2019-04-01,07:52:55,5,12,5732,1
49,25,2019-04-01,07:53:55,5,26,5184,1
50,41,2019-04-01,07:57:58,5,26,5656,2
51,47,2019-04-01,07:59:58,5,26,5477,2
51,79,2019-04-01,07:59:58,5,26,5477,1
52,42,2019-04-01,08:00:18,8,45,8480,1
53,36,2019-04-01,08:00:35,5,26,5136,1
53,77,2019-04-01,08:00:35,5,26,5136,1
54,45,2019-04-01,08:00:39,8,42,8353,1
55,59,2019-04-01,08:00:39,8,45,8392,2
56,55,2019-04-01,08:01:00,5,26,5361,2
57,37,2019-04-01,08:03:55,5,12,5181,2
57,79,2019-04-01,08:03:55,5,12,5181,1
58,23,2019-04-01,08:05:46,5,30,5929,1
59,45,2019-04-01,08:06:19,5,26,5651,1
60,41,2019-04-01,08:08:56,5,30,5013,1
60,74,2019-04-01,08:08:56,5,30,5013,1
61,43,2019-04-01,08:09:09,5,26,5873,1
62,31,2019-04-01,08:09:36,5,12,5676,1
63,61,2019-04-01,08:11:45,8,45,8293,1
64,47,2019-04-01,08:12:03,8,15,8291,1
65,54,2019-04-01,08:13:31,5,12,5388,2
66,37,2019-04-01,08:15:40,5,12,5765,2
67,28,2019-04-01,08:16:50,8,45,8326,1
68,33,2019-04-01,08:17:27,8,42,8483,2
69,53,2019-04-01,08:17:40,8,42,8318,2
70,24,2019-04-01,08:17:58,8,42,8170,1
71,51,2019-04-01,08:18:52,5,30,5735,1
72,58,2019-04-01,08:21:46,8,15,8042,1
73,40,2019-04-01,08:24:24,8,45,8050,2
74,56,2019-04-01,08:24:26,5,26,5290,2
74,69,2019-04-01,08:24:26,5,26,5290,1
75,26,2019-04-01,08:24:26,8,15,8411,1
76,44,2019-04-01,08:24:50,5,30,5305,1
77,87,2019-04-01,08:25:34,8,42,8126,2
78,30,2019-04-01,08:25:44,8,15,8413,2
79,44,2019-04-01,08:26:08,8,45,8057,1
79,74,2019-04-01,08:26:08,8,45,8057,1
80,56,2019-04-01,08:29:38,8,42,8023,1
81,32,2019-04-01,08:29:51,5,12,5577,2
82,47,2019-04-01,08:30:00,5,30,5398,1
83,40,2019-04-01,08:31:23,8,42,8003,1
84,57,2019-04-01,08:31:56,8,42,8397,1
85,61,2019-04-01,08:32:01,8,45,8443,2
86,61,2019-04-01,08:32:31,8,45,8180,1
87,61,2019-04-01,08:33:04,8,45,8086,2
88,43,2019-04-01,08:33:08,5,26,5691,1
88,76,2019-04-01,08:33:08,5,26,5691,1
89,30,2019-04-01,08:34:14,8,15,8373,2
89,74,2019-04-01,08:34:14,8,15,8373,1
90,45,2019-04-01,08:35:03,5,12,5401,2
90,71,2019-04-01,08:35:03,5,12,5401,1
91,22,2019-04-01,08:35:26,8,15,8168,2
92,87,2019-04-01,08:37:40,5,26,5680,1
92,70,2019-04-01,08:37:40,5,26,5680,1
93,54,2019-04-01,08:39:30,5,30,5601,2
94,41,2019-04-01,08:40:04,5,26,5607,2
95,39,2019-04-01,08:41:23,8,45,8397,1
95,75,2019-04-01,08:41:23,8,45,8397,1
96,45,2019-04-01,08:41:27,8,45,8207,2
97,25,2019-04-01,08:41:53,5,12,5384,2
98,40,2019-04-01,08:41:57,8,45,8278,2
